NCM	Início de vigência da NCM	Fim de vigência da NCM	uTrib para uso em operações de Exportação (Abreviatura)	Descrição da uTrib utilizada em operações de Exportação
03048930	42370	48		Quilograma
03048990	42370	48		Quilograma
03049100	42370	48		Quilograma
03049211	42370	48		Quilograma
03049212	42370	48		Quilograma
03049219	42370	48		Quilograma
03049221	42370	48		Quilograma
03049222	42370	48		Quilograma
03049229	42370	48		Quilograma
03049300	42370	48		Quilograma
03049400	42370	48		Quilograma
03049500	42370	48		Quilograma
03049600	42736	48		Quilograma
03049700	42736	48		Quilograma
03049900	42370	48		Quilograma
03052010	45017	48		Quilograma
03052090	45017	48		Quilograma
03053100	42370	48		Quilograma
03053210	42370	48		Quilograma
03053220	42370	48		Quilograma
03053230	42736	48		Quilograma
03053290	42370	48		Quilograma
03053900	42736	48		Quilograma
03054100	42370	48		Quilograma
03054200	42370	48		Quilograma
03054300	42370	48		Quilograma
03054400	42370	48		Quilograma
03054910	42370	48		Quilograma
03054920	42370	48		Quilograma
03054990	42370	48		Quilograma
03055100	42370	48		Quilograma
03055200	42736	48		Quilograma
03055310	42736	48		Quilograma
03055390	42736	48		Quilograma
03055400	42736	48		Quilograma
03055900	42736	48		Quilograma
03056100	42370	48		Quilograma
03056200	42370	48		Quilograma
03056300	42370	48		Quilograma
03056400	42370	48		Quilograma
03056910	42370	48		Quilograma
03056990	42370	48		Quilograma
03057100	42370	48		Quilograma
03057200	42370	48		Quilograma
03057900	42370	48		Quilograma
03061110	42370	48		Quilograma
03061190	42370	48		Quilograma
03061200	42370	48		Quilograma
03061400	42370	48		Quilograma
03061500	42370	48		Quilograma
03061610	42370	48		Quilograma
03061690	42370	48		Quilograma
03061710	42370	48		Quilograma
03061790	42370	48		Quilograma
03061910	42370	48		Quilograma
03061990	42370	48		Quilograma
03063100	42736	48		Quilograma
03063200	42736	48		Quilograma
03063300	42736	48		Quilograma
03063400	42736	48		Quilograma
03063500	42736	48		Quilograma
03063600	42736	48		Quilograma
03063910	42736	48		Quilograma
03063990	42736	48		Quilograma
03069100	42736	48		Quilograma
03069200	42736	48		Quilograma
03069300	42736	48		Quilograma
03069400	42736	48		Quilograma
03069500	42736	48		Quilograma
03069910	42736	48		Quilograma
03069990	42736	48		Quilograma
03071100	42370	48		Quilograma
03071200	42736	48		Quilograma
03071900	42370	48		Quilograma
03072100	42370	48		Quilograma
03072200	42736	48		Quilograma
03072900	42370	48		Quilograma
03073100	42370	48		Quilograma
03073200	42736	48		Quilograma
03073900	42370	48		Quilograma
03074200	42736	48		Quilograma
03074310	42736	48		Quilograma
03074320	42736	48		Quilograma
03074900	42736	48		Quilograma
03075100	42370	48		Quilograma
03075200	42736	48		Quilograma
03075900	42736	48		Quilograma
03076000	42370	48		Quilograma
03077100	42370	48		Quilograma
03077200	42736	48		Quilograma
03077900	42370	48		Quilograma
03078100	42370	48		Quilograma
03078200	42736	48		Quilograma
03078300	42736	48		Quilograma
03078400	42736	48		Quilograma
03078700	42736	48		Quilograma
03078800	42736	48		Quilograma
03079100	42370	48		Quilograma
03079200	42736	48		Quilograma
03079900	42370	48		Quilograma
03081100	42370	48		Quilograma
03081200	42736	48		Quilograma
03081900	42370	48		Quilograma
03082100	42370	48		Quilograma
03082200	42736	48		Quilograma
03082900	42370	48		Quilograma
03083000	42370	48		Quilograma
03089000	42370	48		Quilograma
03091000	44652	48		Quilograma
03099000	44652	48		Quilograma
04011010	42370	48		Quilograma
04011090	42370	48		Quilograma
04012010	42370	48		Quilograma
04012090	42370	48		Quilograma
