category	filename	status	url	title	published	version	doc_key	size	updated_at
notas-tecnicas	Nota Técnica 2013.001 - v.1.00 - Publicada em 12-03-2013.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=74XhRcycM5s=	Nota Técnica 2013.001 - v.1.00 - Publicada em 12/03/2013	12-03-2013	1.00	nota-tecnica:2013.001	143879	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2013.002 - v.1.00b - Publicada em 28-03-2013.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=fB97I2palIA=	Nota Técnica 2013.002 - v.1.00b - Publicada em 28/03/2013	28-03-2013	1.00b	nota-tecnica:2013.002	208772	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2013.003 - v.1.00a - Publicada em 26-04-2013.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=/mjaQ31Xphs=	Nota Técnica 2013.003 - v.1.00a - Publicada em 26/04/2013	26-04-2013	1.00a	nota-tecnica:2013.003	167195	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2013.004 - Publicada em 06-05-2013.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=9G89B%20LireQ=	Nota Técnica 2013.004 - Publicada em 06/05/2013	06-05-2013		nota-tecnica:2013.004	152103	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2013.005 - v.1.22 - Publicada em 25-03-2015.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=y9Xj8twyoic=	Nota Técnica 2013.005 - v.1.22 - Publicada em 25/03/2015	25-03-2015	1.22	nota-tecnica:2013.005	6802659	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2013.006 - Publicada em 05-08-2013.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=slmjSi5sbdk=	Nota Técnica 2013.006 - Publicada em 05/08/2013	05-08-2013		nota-tecnica:2013.006	160030	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2013.007 - v.1.03 - Publicada em 16-09-2014.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=b4h3Pi%20Helo=	Nota Técnica 2013.007 - v.1.03 - Publicada em 16/09/2014	16-09-2014	1.03	nota-tecnica:2013.007	851500	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2013.008 - Publicada em 12-12-2013.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=gfp9WZDzUcI=	Nota Técnica 2013.008 - Publicada em 12/12/2013	12-12-2013		nota-tecnica:2013.008	159802	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2014.001 - v.1.30 - Publicada em 21-06-2022.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=sIUh41wCvIg=	Nota Técnica 2014.001 - v.1.30 - Publicada em 21/06/2022	21-06-2022	1.30	nota-tecnica:2014.001	928564	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2014.002 - v.1.30 - Publicada em 09-02-2026.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=P0U3lU1Fe40=	Nota Técnica 2014.002 - v.1.30 - Publicada em 09/02/2026	09-02-2026	1.30	nota-tecnica:2014.002	873319	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2014.004 - v.1.10 - Publicada em 11-08-2014.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=ycHRQDy%20lb8=	Nota Técnica 2014.004 - v.1.10 - Publicada em 11/08/2014	11-08-2014	1.10	nota-tecnica:2014.004	570063	2026-06-22T16:51:20.983Z
